Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	31.9389	52.4641	41.6968
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	30.995	30.7462	36.7165
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	24.0786	27.5234	27.3906
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	34.7924	32.0698	32.1574
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	73.576	60.2703	39.9316
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	14.2225		21.2095
A3KN83	A3KN83;Q9Y2G9	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	8.13669	11.1561	10.6958
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6.85529	16.0576	6.50363
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	33.491	26.4117	31.1014
A6NCE7;Q9GZQ8	Q9H492;A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8.86697		17.6762
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	63.0429	56.2507	63.3114
A6NDU8	A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51			6.61327
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	58.1433	92.8775	
A6NHL2;P68366;Q9BQE3	P68366;Q71U36;A6NHL2;Q9BQE3;P68363	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3	1254.86	1339.73	1184.86
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1		11.5688	9.10881
A6NIH7;Q13432	A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B		31.2881	16.5971
A6NIZ1;P61224	P61224;A6NIZ1	RAP1B_HUMAN;RP1BL_HUMAN	RAP1B	Ras-related protein Rap-1b-like protein	17.5598	17.1468	19.1368
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	7.87925		6.31631
A8MPP1;Q92771;Q96FC9	Q96FC9;A8MPP1;Q92771	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11;DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8	33.5032		
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	121.248	153.284	110.213
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19			11.8757
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8			215.847
E9PAV3;Q13765	Q13765;E9PAV3	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	279.382	293.24	316.267
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	49.786	67.8938	67.0362
G2XKQ0;P63165	G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	16.2803		9.10037
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha			14.3353
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	59.1011	50.7627	49.117
O00139	O00139;Q8N4N8	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	24.2166		16.6869
O00139;Q99661	O00139;Q99661	KIF2A_HUMAN;KIF2C_HUMAN	KIF2A;KIF2C	Kinesin-like protein KIF2A	27.2229		26.0763
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	43.8884	60.6419	56.9292
O00148;Q13838	O00148;Q13838	DX39A_HUMAN;DX39B_HUMAN	DDX39A;DDX39B	ATP-dependent RNA helicase DDX39A	276.979	372.904	245.247
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	98.4757	91.8627	89.8669
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	300.053	337.846	269.027
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	51.3492	57.1641	57.2988
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	87.8275	127.391	90.4471
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	17.7539	17.4002	22.4539
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	29.6018	31.4218	24.1505
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	64.3224	55.3232	55.8835
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	31.9191	28.4661	35.4614
O00220	O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	14.3383		13.5064
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	194.331	201.198	183.274
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	168.626	140.332	140.301
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	46.7658	71.1675	71.3488
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	5.45205	17.2495	16.3067
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	51.6617	63.2231	65.3197
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	30.3836	26.5247	25.6087
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	34.3532	47.2071	43.9866
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	607.593	652.787	523.578
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	166.631	162.364	170.247
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	15.0832		10.2689
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1			9.27229
O00399	O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6			5.60356
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	150.958	145.603	159.457
O00410;O60518	O60518;O00410	IPO5_HUMAN;RNBP6_HUMAN	IPO5;RANBP6	Importin-5	68.8793	76.1664	60.197
O00411	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	18.2471	16.8952	12.0452
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	51.4437	59.0943	62.4045
O00425;Q9Y6M1	Q9Y6M1;O00425;Q9NZI8	IF2B2_HUMAN;IF2B3_HUMAN	IGF2BP2;IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	65.8835	63.2722	105.822
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	39.1795	38.4888	39.089
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	27.404	30.3084	26.6903
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	48.2361	61.7928	59.295
